SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"M&M","3,431.20","3,453.90","3,413.10","3,424.80","3,422.50","-","-2.3","-0.07","318380","109.18","3,839.90","2,896.00","6.97","0.86"
"LUPIN","2,203.30","2,217.00","2,195.00","2,201.50","2,199.90","-","-1.6","-0.07","170938","37.69","2,529.50","1,875.00","-12.46","13.46"
"NYKAA","331.00","331.80","328.00","330.35","330.10","-","-0.25","-0.08","479464","15.81","348.00","223.30","0.73","46.7"
"ASIANPAINT","2,620.20","2,636.10","2,615.50","2,625.20","2,622.80","-","-2.4","-0.09","102373","26.86","2,985.70","2,115.00","-2.5","2.14"
"PFC","363.80","364.95","361.60","363.80","363.45","-","-0.35","-0.1","2328153","84.59","486.50","329.90","-12.31","-9.82"
"ULTRACEMCO","11,549.00","11,620.00","11,533.00","11,575.00","11,564.00","-","-11","-0.1","19070","22.04","13,110.00","10,325.00","-4.29","-10.09"
"RELIANCE","1,314.00","1,314.50","1,308.00","1,313.20","1,311.70","-","-1.5","-0.11","1261863","165.33","1,611.80","1,249.80","0.73","-7.06"
"DIXON","14,864.00","14,924.00","14,670.00","14,850.00","14,831.00","-","-19","-0.13","263944","390.44","18,471.00","9,600.00","5.18","-12.01"
"KAYNES","3,822.00","3,843.70","3,798.00","3,815.00","3,809.70","-","-5.3","-0.14","174446","66.58","7,705.00","2,995.00","16.59","-38.47"
"DABUR","400.05","400.75","398.80","400.00","399.45","-","-0.55","-0.14","210461","8.41","577.00","398.00","-6.13","-25.23"
"ADANIPOWER","203.99","204.35","202.83","204.00","203.64","-","-0.36","-0.18","4114857","83.75","254.20","116.70","-7.43","-66"
"DRREDDY","1,179.00","1,185.10","1,174.00","1,180.00","1,177.90","-","-2.1","-0.18","381393","45.00","1,414.90","1,101.00","-2.16","-5.25"
"GRASIM","3,280.00","3,301.00","3,258.00","3,300.00","3,293.70","-","-6.3","-0.19","304089","99.77","3,411.10","2,502.50","3.78","15.19"
"HCLTECH","1,319.90","1,321.70","1,305.20","1,318.40","1,315.90","-","-2.5","-0.19","257122","33.75","1,780.10","1,030.00","6.37","-11.87"
"DIVISLAB","8,600.00","8,610.00","8,522.50","8,570.00","8,552.50","-","-17.5","-0.2","51117","43.72","8,674.00","5,636.50","16.92","42.71"
"SBILIFE","1,780.00","1,782.00","1,766.20","1,782.00","1,778.30","-","-3.7","-0.21","138087","24.52","2,132.00","1,700.40","-2.51","-4.12"
"COCHINSHIP","1,485.00","1,496.60","1,480.20","1,489.00","1,485.90","-","-3.1","-0.21","143746","21.40","1,979.90","1,187.00","5.96","-13.12"
"UNIONBANK","185.30","185.30","183.74","184.68","184.25","-","-0.43","-0.23","1227513","22.63","205.49","124.64","4.87","34.89"
"ADANIENSOL","1,556.90","1,559.50","1,545.00","1,548.50","1,545.00","-","-3.5","-0.23","717147","111.42","1,789.00","744.90","-11.09","87.88"
"DALBHARAT","1,897.00","1,912.50","1,889.00","1,897.00","1,891.80","-","-5.2","-0.27","61155","11.60","2,496.30","1,605.00","1.76","-19.08"
"UNOMINDA","1,261.00","1,267.00","1,253.00","1,260.50","1,257.00","-","-3.5","-0.28","70271","8.84","1,382.00","994.00","9.86","2.08"
"ASHOKLEY","173.16","173.69","172.30","173.80","173.29","-","-0.51","-0.29","1777780","30.75","215.42","125.85","12.9","30.58"
"ADANIPORTS","1,697.20","1,702.00","1,685.10","1,696.00","1,691.10","-","-4.9","-0.29","275974","46.72","1,891.10","1,292.00","-8.15","23.74"
"LT","4,081.00","4,089.00","4,061.40","4,081.00","4,069.30","-","-11.7","-0.29","150282","61.18","4,440.00","3,288.10","6.09","13.6"
"IDEA","14.03","14.09","13.92","14.03","13.99","-","-0.04","-0.29","92232739","129.03","15.34","6.46","4","106.63"
"HDFCAMC","2,615.00","2,622.90","2,596.00","2,624.00","2,616.20","-","-7.8","-0.3","193033","50.35","2,967.25","2,205.60","1.66","-54.04"
"RECLTD","328.50","330.45","326.75","328.10","327.10","-","-1","-0.3","1177930","38.62","390.50","304.05","-9.38","-13.85"
"PHOENIXLTD","1,925.20","1,943.80","1,914.10","1,925.00","1,918.80","-","-6.2","-0.32","63339","12.20","2,169.80","1,465.60","-7.95","23.12"
"MANKIND","2,385.00","2,407.20","2,376.30","2,385.00","2,377.30","-","-7.7","-0.32","33766","8.06","2,674.00","1,909.70","-7.54","-4.85"
"ADANIENT","2,995.00","3,007.50","2,981.00","2,994.90","2,985.00","-","-9.9","-0.33","316539","94.72","3,245.00","1,753.00","-5.9","25.46"
"EICHERMOT","8,095.00","8,112.50","7,993.50","8,042.00","8,010.00","-","-32","-0.4","83031","66.74","8,230.00","5,880.00","4.58","35.44"
"ABB","7,474.00","7,545.00","7,440.00","7,479.00","7,447.00","-","-32","-0.43","29567","22.07","7,924.50","4,637.50","-0.7","46.03"
"INDUSINDBK","1,007.80","1,007.80","997.00","1,008.00","1,003.70","-","-4.3","-0.43","441227","44.17","1,077.85","710.60","-5.21","29.53"
"OIL","480.90","482.00","478.15","480.90","478.80","-","-2.1","-0.44","242639","11.64","531.00","384.60","8.03","17.87"
"SHREECEM","24,295.00","24,355.00","24,105.00","24,300.00","24,190.00","-","-110","-0.45","5664","13.74","31,225.00","22,550.00","-10.81","-20.82"
"ASTRAL","1,532.00","1,538.20","1,521.00","1,532.00","1,525.00","-","-7","-0.46","103445","15.83","1,768.70","1,311.60","8.26","9.92"
"ETERNAL","330.00","331.70","325.65","327.95","326.45","-","-1.5","-0.46","12486424","410.07","368.45","212.60","14.43","0.43"
"TIINDIA","2,949.00","2,949.00","2,915.00","2,930.00","2,915.70","-","-14.3","-0.49","32813","9.60","3,419.90","2,164.90","0.71","-7.86"
"CGPOWER","876.30","878.35","870.05","876.30","872.00","-","-4.3","-0.49","290829","25.39","980.90","525.50","-4.21","29.97"
"PIDILITIND","1,648.50","1,664.40","1,645.00","1,660.00","1,651.70","-","-8.3","-0.5","205544","33.96","1,707.50","1,259.00","4.32","-46.18"
"SUNPHARMA","1,916.00","1,917.40","1,893.60","1,904.00","1,894.50","-","-9.5","-0.5","312219","59.41","2,046.90","1,548.00","-2.95","16.59"
"ITC","271.60","271.60","269.90","271.65","270.25","-","-1.4","-0.52","2609823","70.56","427.00","265.00","-3.33","-33.1"
"AMBUJACEM","410.00","412.85","407.90","411.00","408.80","-","-2.2","-0.54","972289","39.84","600.80","394.00","-6.77","-30.56"
"HINDUNILVR","2,028.00","2,034.70","2,013.00","2,028.00","2,016.50","-","-11.5","-0.57","215223","43.49","2,750.00","2,008.30","-5.34","-24.04"
"FORCEMOT","17,885.00","18,011.00","17,761.00","17,885.00","17,783.00","-","-102","-0.57","14771","26.39","26,450.00","14,911.00","1.18","-13.25"
"NAUKRI","1,367.80","1,367.80","1,345.20","1,360.90","1,352.80","-","-8.1","-0.6","150133","20.30","1,437.80","908.30","12.69","-2.48"
"OFSS","11,850.00","11,870.00","11,720.00","11,826.00","11,753.00","-","-73","-0.62","32816","38.63","11,979.00","6,234.50","1.67","34.95"
"SWIGGY","280.75","281.25","277.00","279.00","277.20","-","-1.8","-0.65","3200217","89.35","474.00","235.75","3.25","-33.74"
"MOTHERSON","170.41","170.41","167.66","169.58","168.44","-","-1.14","-0.67","2498064","42.13","173.27","91.10","16.77","73.09"
"TATACONSUM","1,060.00","1,062.00","1,048.00","1,056.30","1,049.20","-","-7.1","-0.67","314314","33.08","1,282.70","1,007.20","-2.33","-4.43"
"UPL","571.00","573.70","567.10","571.90","568.00","-","-3.9","-0.68","205903","11.71","812.20","557.95","-7.48","-19.84"
"CONCOR","523.00","523.00","514.60","519.00","515.40","-","-3.6","-0.69","233225","12.03","569.80","421.45","5.56","-6.91"
"PERSISTENT","5,685.00","5,707.00","5,602.00","5,674.00","5,635.00","-","-39","-0.69","119674","67.46","6,599.00","4,244.50","8.72","6.16"
"TRENT","2,970.00","2,976.60","2,947.00","2,970.00","2,948.70","-","-21.3","-0.72","110298","32.58","3,782.67","2,183.67","2.6","-45.53"
"APOLLOHOSP","8,727.00","8,746.00","8,646.50","8,735.00","8,672.50","-","-62.5","-0.72","54115","47.00","9,050.00","6,696.50","-2.15","10.81"
"MARUTI","13,809.00","13,809.00","13,685.00","13,809.00","13,708.00","-","-101","-0.73","35544","48.84","17,370.00","12,201.00","1.56","-2.9"
"SUPREMEIND","3,658.70","3,674.80","3,606.00","3,650.00","3,623.40","-","-26.6","-0.73","25832","9.37","4,664.90","3,140.00","7.38","-19.63"
"JSWSTEEL","1,298.00","1,298.80","1,287.20","1,299.70","1,290.10","-","-9.6","-0.74","585209","75.59","1,335.00","1,022.30","2.55","20.05"
"GMRAIRPORT","101.30","101.40","99.57","100.41","99.66","-","-0.75","-0.75","4072156","40.84","115.64","84.11","-9.93","10.33"
"LAURUSLABS","1,825.00","1,836.40","1,806.50","1,825.00","1,811.40","-","-13.6","-0.75","524219","95.32","1,870.80","823.10","14.55","108.32"
"RBLBANK","392.30","392.75","387.70","392.30","389.20","-","-3.1","-0.79","714250","27.83","393.90","243.25","6.84","52.88"
"CIPLA","1,433.40","1,443.60","1,426.60","1,438.00","1,426.70","-","-11.3","-0.79","95833","13.71","1,673.00","1,165.70","0.38","-6.99"
"GLENMARK","2,334.60","2,348.60","2,304.10","2,332.90","2,314.00","-","-18.9","-0.81","105352","24.45","2,474.00","1,792.60","4.05","21.25"
"MAXHEALTH","1,000.00","1,003.60","986.50","997.90","989.60","-","-8.3","-0.83","366802","36.40","1,256.00","903.00","-9.31","-18.58"
"TVSMOTOR","4,389.50","4,390.00","4,337.60","4,390.00","4,352.60","-","-37.4","-0.85","583172","254.57","4,475.00","3,221.20","15.77","35.92"
"HAVELLS","1,275.00","1,279.50","1,259.10","1,278.00","1,267.00","-","-11","-0.86","144538","18.32","1,621.10","1,123.60","4.96","-18.49"
"UNITDSPR","1,550.00","1,550.00","1,527.00","1,544.00","1,530.00","-","-14","-0.91","119381","18.32","1,550.00","1,210.80","11.02","15.58"
"BOSCHLTD","48,635.00","48,635.00","48,125.00","48,750.00","48,305.00","-","-445","-0.91","6767","32.66","49,130.00","28,610.00","19.28","22.07"
"ALKEM","5,400.00","5,454.00","5,340.00","5,400.00","5,350.00","-","-50","-0.93","14497","7.78","5,933.50","5,075.00","-4.95","0.13"
"TITAN","5,068.00","5,090.40","5,011.00","5,068.00","5,021.00","-","-47","-0.93","129745","65.40","5,168.00","3,303.10","8.09","40.97"
"FORTIS","915.15","919.70","904.45","916.80","908.20","-","-8.6","-0.94","375495","34.12","1,104.30","766.80","-5.39","-4.89"
"INDHOTEL","735.00","735.50","726.90","735.85","728.65","-","-7.2","-0.98","219890","16.06","811.95","565.00","0.58","-8.79"
"PATANJALI","352.30","352.45","348.05","352.30","348.85","-","-1.15","-0.33","565173","19.74","615.00","328.20","3.54","-80.58"
"POLYCAB","9,145.00","9,175.00","9,020.00","9,125.00","9,034.50","-","-90.5","-0.99","88858","80.48","10,126.00","6,663.00","2.49","27.48"
"KPITTECH","592.90","592.90","586.05","592.90","586.85","-","-6.05","-1.02","291205","17.15","1,328.00","543.00","5.04","-51.19"
"INDIGO","5,155.00","5,172.50","5,087.00","5,165.00","5,111.50","-","-53.5","-1.04","475121","242.76","6,173.50","3,895.20","-2.64","-16.09"
"BAJAJ-AUTO","11,790.00","11,790.00","11,660.00","11,793.00","11,666.00","-","-127","-1.08","69334","81.17","11,863.00","8,491.50","13.36","33.59"
"JUBLFOOD","512.15","512.15","501.40","507.30","501.70","-","-5.6","-1.1","271687","13.76","667.75","408.55","19.22","-20.01"
"HEROMOTOCO","5,724.50","5,734.50","5,670.00","5,740.50","5,676.00","-","-64.5","-1.12","78414","44.68","6,388.50","4,671.50","14.03","11.77"
"VBL","438.30","441.60","432.50","438.30","433.30","-","-5","-1.14","909384","39.65","555.80","381.00","-5.43","-15.33"
"MARICO","862.15","862.15","846.55","858.35","848.40","-","-9.95","-1.16","169608","14.43","889.10","690.30","0.56","14.17"
"CHOLAFIN","1,888.90","1,890.10","1,858.10","1,888.90","1,866.80","-","-22.1","-1.17","289246","54.02","1,952.50","1,299.40","7.4","24.03"
"COFORGE","1,890.00","1,890.90","1,851.00","1,882.00","1,859.70","-","-22.3","-1.18","522580","97.34","1,989.70","1,008.10","25.97","10.16"
"MPHASIS","2,432.00","2,435.00","2,386.40","2,430.00","2,400.50","-","-29.5","-1.21","69892","16.78","3,037.20","2,013.00","2.1","-14.3"
"KEI","5,700.00","5,744.00","5,602.10","5,675.00","5,604.70","-","-70.3","-1.24","46893","26.49","5,899.00","3,728.70","14.08","42.36"
"GODREJCP","944.40","945.80","932.70","947.00","935.10","-","-11.9","-1.26","385802","36.18","1,309.00","906.30","-10.17","-24.05"
"BSE","3,252.00","3,285.00","3,233.00","3,291.10","3,248.90","-","-42.2","-1.28","2602631","845.69","4,446.80","2,021.50","-10.18","30.44"
"SBICARD","638.00","648.95","636.40","647.05","638.40","-","-8.65","-1.34","764026","49.02","965.00","565.45","0.31","-20.91"
"TORNTPHARM","5,005.50","5,031.00","4,937.00","5,005.00","4,938.00","-","-67","-1.34","48771","24.24","5,250.00","3,480.60","-0.71","36.61"
"DMART","3,979.80","3,990.00","3,880.00","3,960.00","3,904.80","-","-55.2","-1.39","141171","55.26","4,949.50","3,529.00","-0.39","-16.42"
"PNB","117.45","117.52","115.41","118.00","116.25","-","-1.75","-1.48","6765368","78.57","135.15","98.50","5.28","10.17"
"COLPAL","1,907.90","1,907.90","1,880.10","1,910.00","1,881.50","-","-28.5","-1.49","92282","17.45","2,504.00","1,782.00","-8.74","-18.95"
"BHARATFORG","2,054.00","2,058.00","2,026.10","2,062.00","2,029.90","-","-32.1","-1.56","225829","45.95","2,295.00","1,100.50","-6.35","77.93"
"RADICO","4,705.00","4,724.00","4,618.00","4,696.00","4,620.00","-","-76","-1.62","56092","26.09","4,747.00","2,500.00","14.86","65.73"
"SONACOMS","820.05","821.85","802.20","821.90","807.35","-","-14.55","-1.77","851876","68.89","844.00","402.30","12.17","82.5"
"CUMMINSIND","5,116.00","5,218.00","5,100.50","5,205.00","5,104.50","-","-100.5","-1.93","189418","97.40","6,100.00","3,729.50","-6.77","36.31"
"LTM","4,500.00","4,500.00","4,414.80","4,553.00","4,450.40","-","-102.6","-2.25","284480","126.62","6,429.50","3,528.00","12.5","0"
"LICHSGFIN","500.00","500.80","491.00","508.05","493.75","-","-4.3","-0.86","1409963","69.63","598.20","458.90","-7.39","-12.42"
"BRITANNIA","5,527.50","5,533.00","5,360.00","5,548.00","5,368.00","-","-180","-3.24","180820","97.52","6,336.00","5,035.00","1.2","-2.68"
